Wavelength,Intensity
571.7241379310345,4.106333333333334
572.8793103448276,3.979666666666667
574.0344827586207,4.023
575.1896551724138,3.7530000000000006
576.3448275862069,3.566333333333333
577.5,3.3863333333333334
578.6551724137931,3.313
579.8103448275862,3.396333333333333
580.9655172413793,3.3729999999999998
582.1206896551724,3.1696666666666666
583.2758620689655,3.059666666666667
584.4310344827586,3.033
585.5862068965517,2.6730000000000005
586.7413793103449,2.6296666666666666
587.8965517241379,2.566333333333333
589.051724137931,2.613
590.2068965517242,2.773
591.3620689655172,2.4330000000000003
592.5172413793103,2.409666666666667
593.6724137931035,2.2630000000000003
594.8275862068965,1.9296666666666673
595.9827586206897,1.9496666666666669
597.1379310344828,2.109666666666667
598.2931034482758,1.9696666666666665
599.448275862069,1.9796666666666671
600.6034482758621,1.9230000000000005
601.7586206896551,1.8663333333333338
602.9137931034483,1.7163333333333335
604.0689655172414,1.5963333333333334
605.2241379310345,1.4330000000000003
606.3793103448276,1.4196666666666666
607.5344827586207,1.3896666666666673
608.6896551724138,1.5130000000000003
609.8448275862069,1.4263333333333335
611.0,1.2996666666666665
612.1551724137931,1.239666666666667
613.3103448275862,1.0130000000000003
614.4655172413793,0.9696666666666665
